Time,Channel A
(s),(V)

166.93341666,0.24195080
167.00008336,0.26905120
167.06675006,0.26905120
167.13341676,0.27497180
167.20008346,0.25824760
167.26675016,0.28107550
167.33341686,0.29169590
167.40008356,0.26856290
167.46675026,0.26807460
167.53341696,0.27240820
167.60008366,0.28186900
167.66675036,0.26367990
167.73341706,0.26892910
167.80008376,0.27301860
167.86675046,0.25721000
167.93341716,0.26728110
168.00008386,0.25275430
168.06675056,0.25348680
168.13341726,0.25043490
168.20008396,0.25006870
168.26675066,0.25153360
168.33341736,0.24585710
168.40008406,0.24890900
168.46675076,0.24384290
168.53341746,0.24591820
168.60008416,0.23780020
168.66675086,0.23755610
168.73341756,0.23700670
168.80008426,0.22919400
168.86675096,0.23023160
168.93341766,0.22431100
169.00008436,0.22357860
169.06675106,0.22711870
169.13341776,0.21045560
169.20008446,0.21478930
169.26675116,0.21674250
169.33341786,0.20337530
169.40008456,0.20300910
169.46675126,0.20868560
169.53341796,0.19800410
169.60008466,0.20093390
169.66675136,0.19476910
169.73341806,0.19116800
169.80008476,0.19202250
169.86675146,0.18958100
169.93341816,0.18628500
170.00008486,0.18298900
170.06675156,0.17999820
170.13341826,0.17194130
170.20008496,0.17188020
170.26675166,0.16931670
170.33341836,0.16510510
170.40008506,0.16632590
170.46675176,0.16400650
170.53341846,0.15686510
170.60008516,0.15369120
170.66675186,0.15247050
170.73341856,0.14374220
170.80008526,0.15021210
170.86675196,0.14148380
170.93341866,0.13788260
171.00008536,0.13550220
171.06675206,0.13544110
171.13341876,0.12646870
171.20008546,0.12939850
171.26675216,0.12573630
171.33341886,0.11877800
171.40008556,0.12121950
171.46675226,0.11774040
171.53341896,0.11084320
171.60008566,0.10962250
171.66675236,0.10962250
171.73341906,0.10321360
171.80008576,0.09924619
171.86675246,0.10150460
171.93341916,0.09375286
172.00008586,0.09253212
172.06675256,0.09961241
172.13341926,0.08722190
172.20008596,0.08520768
172.26675266,0.08447523
172.33341936,0.07965331
172.40008606,0.07867672
172.46675276,0.07702872
172.53341946,0.07116917
172.60008616,0.07190160
172.66675286,0.07153539
172.73341956,0.06756798
172.80008626,0.06634724
172.86675296,0.06347850
172.93341966,0.05767998
173.00008636,0.05780206
173.06675306,0.05517747
173.13341976,0.05261391
173.20008646,0.05133213
173.26675316,0.05133213
173.33341986,0.04669332
173.40008656,0.04254280
173.46675326,0.04602191
173.53341996,0.03784295
173.60008666,0.03613392
173.66675336,0.03851436
173.73342006,0.03515732
173.80008676,0.03241066
173.86675346,0.03173925
173.93342016,0.02935881
174.00008686,0.02795495
174.06675356,0.02545244
174.13342026,0.02600177
174.20008696,0.01922666
174.26675366,0.02606281
174.33342036,0.01886044
174.40008706,0.01806696
174.46675376,0.01861629
174.53342046,0.01660207
174.60008716,0.01202429
174.66675386,0.01422163
174.73342056,0.01165807
174.80008726,0.00958281
174.86675396,0.00891141
174.93342066,0.00683615
175.00008736,0.00311289
175.06675406,0.00689718
175.13342076,0.00421155
175.20008746,0.00317393
175.26675416,0.00408948
175.33342086,-0.00103763
175.40008756,-0.00280770
175.46675426,-0.00030519
175.53342096,-0.00170904
175.60008766,-0.00537126
175.66675436,-0.00390637
175.73342106,-0.00451674
175.80008776,-0.00756859
175.86675446,-0.00469985
175.93342116,-0.00469985
176.00008786,-0.00830104
176.06675456,-0.00860622
176.13342126,-0.01080355
176.20008796,-0.01202429
176.26675466,-0.01116977
176.33342136,-0.01208533
176.40008806,-0.01184118
176.46675476,-0.01385540
176.53342146,-0.01135289
176.60008816,-0.01965392
176.66675486,-0.01422163
176.73342156,-0.00805689
176.80008826,-0.01660207
176.86675496,-0.01568651
176.93342166,-0.01580859
177.00008836,-0.01886044
177.06675506,-0.01629688
177.13342176,-0.01641896
177.20008846,-0.01977599
177.26675516,-0.01696829
177.33342186,-0.01513718
177.40008856,-0.02032533
177.46675526,-0.01812799
177.53342196,-0.01489303
177.60008866,-0.01922666
177.66675536,-0.01916562
177.73342206,-0.01538133
177.80008876,-0.02075259
177.86675546,-0.02069155
177.93342216,-0.01867733
178.00008886,-0.01989807
178.06675556,-0.01983703
